Times,Angle,Cur,Diff,Control
00:57.72,108.853416,336.0,132.853424,1.5
00:57.74,110.807449,336.0,134.807449,1.5
00:57.76,112.880241,337.0,135.880249,1.5
00:57.77,114.86351,338.0,136.86351,1.5
00:57.79,116.76693,339.0,137.766937,1.5
00:57.80,118.592491,341.0,137.592499,1.5
00:57.82,120.34304,344.0,136.343048,1.5
00:57.84,122.022034,346.0,136.022034,1.5
00:57.85,123.633675,349.0,134.633667,1.5
00:57.87,125.182083,353.0,132.182083,1.5
00:57.88,126.671509,356.0,130.671509,1.5
00:57.90,128.106064,0.0,128.106064,1.5
00:57.92,129.489487,4.0,125.489487,1.5
00:57.93,130.825302,8.0,122.825302,1.5
00:57.95,132.116486,12.0,120.116486,1.5
00:57.96,133.365753,16.0,117.365753,1.5
00:57.98,134.575226,21.0,113.575226,1.5
00:58.00,135.746765,25.0,110.746765,1.5
00:58.01,136.881821,29.0,107.881821,1.5
00:58.03,137.981491,33.0,104.981491,1.5
00:58.04,139.046478,38.0,101.046478,1.5
00:58.06,140.077438,42.0,98.077438,1.5
00:58.08,141.074722,46.0,95.074722,1.5
00:58.09,142.038544,50.0,92.038544,1.5
00:58.11,142.969025,53.0,89.969025,1.5
00:58.12,143.866302,57.0,86.866302,1.5
00:58.14,144.730469,60.0,84.730469,1.5
00:58.16,145.561722,64.0,81.561722,1.5
00:58.17,146.360153,67.0,79.360153,1.5
00:58.19,147.126068,70.0,77.126068,1.5
00:58.20,147.859802,73.0,74.859802,1.5
00:58.22,148.5616,76.0,72.5616,1.5
00:58.24,149.231888,78.0,71.231888,1.5
00:58.25,149.871048,80.0,69.871048,1.5
00:58.27,150.479446,82.0,68.479446,1.5
00:58.28,151.057449,84.0,67.057449,1.5
00:58.30,151.605438,86.0,65.605438,1.5
00:58.32,152.123993,88.0,64.123993,1.5
00:58.33,152.613602,89.0,63.613602,1.5
00:58.35,153.074753,90.0,63.074753,1.5
00:58.36,153.509064,91.0,62.509064,1.5
00:58.38,153.918228,92.0,61.918228,1.5
00:58.40,154.303467,93.0,61.303467,1.5
00:58.41,154.665878,95.0,59.665878,1.450707
00:58.43,155.006226,96.0,59.006226,1.458664
00:58.44,155.324966,98.0,57.324966,1.391093
00:58.46,155.623032,100.0,55.623032,1.348027
00:58.48,155.900848,103.0,52.900848,1.254467
00:58.49,156.159149,106.0,50.159149,1.185436
00:58.51,156.398361,110.0,46.398361,1.065939
00:58.52,156.619049,114.0,42.619049,0.970994
00:58.54,156.825134,119.0,37.825134,0.82578
00:58.56,157.019791,123.0,34.019791,0.755361
00:58.57,157.204346,128.0,29.204346,0.609723
00:58.59,157.380768,132.0,25.380768,0.53893
00:58.60,157.549271,137.0,20.549271,0.392944
00:58.62,157.710175,142.0,15.710175,0.271777
00:58.64,157.8638,147.0,10.8638,0.150436
00:58.65,158.010574,151.0,7.010574,0.078934
00:58.67,158.150269,156.0,2.150269,0.067751
00:58.68,158.283295,160.0,-1.716705,0.139592
00:58.70,158.409805,165.0,-6.590195,0.286592
00:58.72,158.528671,169.0,-10.471329,0.358812
00:58.73,158.64061,174.0,-15.35939,0.506186
00:58.75,158.747345,178.0,-19.252655,0.578648
00:58.76,158.848572,182.0,-23.151428,0.676255
00:58.78,158.94278,186.0,-27.05722,0.774075
00:58.80,159.03006,190.0,-30.96994,0.872067
00:58.81,159.109467,193.0,-33.890533,0.920278
00:58.83,159.181458,197.0,-37.818542,1.043664
00:58.84,159.245209,200.0,-40.754791,1.092276
00:58.86,159.30011,204.0,-44.69989,1.216125
00:58.88,159.346939,207.0,-47.653061,1.265156
00:58.89,159.385468,210.0,-50.614532,1.3394
00:58.91,159.415375,213.0,-53.584625,1.413868
00:58.92,159.437271,216.0,-56.562729,1.488521
00:58.94,159.44548,218.0,-58.55452,1.5
00:58.96,159.439865,219.0,-59.560135,1.5
00:58.97,159.421036,219.0,-59.578964,1.489945
00:58.99,159.395645,219.0,-59.604355,1.490744
00:59.00,159.367096,219.0,-59.632904,1.491536
00:59.02,159.337112,218.0,-58.662888,1.442322
00:59.04,159.306656,218.0,-58.693344,1.468095
00:59.05,159.276321,218.0,-58.723679,1.46885
00:59.07,159.24646,217.0,-57.75354,1.419585
00:59.08,159.217163,217.0,-57.782837,1.445303
00:59.10,159.188568,217.0,-57.811432,1.446001
00:59.12,159.160507,216.0,-56.839493,1.396689
00:59.13,159.13327,216.0,-56.86673,1.422349
00:59.15,159.106766,216.0,-56.893234,1.422993
00:59.16,159.080872,215.0,-55.919128,1.373626
00:59.18,159.055618,215.0,-55.944382,1.399241
00:59.20,159.030975,215.0,-55.969025,1.399842
00:59.21,159.006989,214.0,-54.993011,1.350425
00:59.23,158.983673,214.0,-55.016327,1.375991
