Times,I Value,J Value
00:09.10,3031.551025,1437.738892
00:09.12,3020.918945,1437.373169
00:09.13,3010.258057,1437.094238
00:09.15,2999.563477,1436.810669
00:09.16,2988.835205,1436.526855
00:09.18,2978.073242,1436.247192
00:09.20,2967.277588,1435.975708
00:09.21,2956.448242,1435.718750
00:09.23,2945.591064,1435.590698
00:09.24,2934.700684,1435.475464
00:09.26,2923.777344,1435.376709
00:09.28,2912.821289,1435.297974
00:09.29,2901.832764,1435.242432
00:09.31,2890.812012,1435.212036
00:09.32,2879.759521,1435.209839
00:09.34,2868.675293,1435.237427
00:09.36,2857.559814,1435.296631
00:09.37,2846.413330,1435.388916
00:09.39,2835.236084,1435.515747
00:09.40,2824.028564,1435.678589
00:09.42,2812.789795,1435.869629
00:09.44,2801.520020,1436.089600
00:09.45,2790.219238,1436.339111
00:09.47,2778.887695,1436.617554
00:09.48,2767.525146,1436.920044
00:09.50,2756.131592,1437.249878
00:09.52,2744.707275,1437.605591
00:09.53,2733.251953,1437.985962
00:09.55,2721.765625,1438.388550
00:09.56,2710.248047,1438.811157
00:09.58,2698.698975,1439.251831
00:09.60,2687.118408,1439.708618
00:09.61,2675.506348,1440.178589
00:09.63,2663.862549,1440.658936
00:09.64,2652.186768,1441.147095
00:09.66,2640.479004,1441.640625
00:09.68,2628.739014,1442.137085
00:09.69,2616.967041,1442.634399
00:09.71,2605.162842,1443.130371
00:09.72,2593.326660,1443.623047
00:09.74,2581.458252,1444.109253
00:09.76,2569.557617,1444.587402
00:09.77,2557.625000,1445.054565
00:09.79,2545.660400,1445.509399
00:09.80,2533.663818,1445.950317
00:09.82,2521.635498,1446.374756
00:09.84,2509.575439,1446.781494
00:09.85,2497.483887,1447.168091
00:09.87,2485.361084,1447.533569
00:09.88,2473.207031,1447.875610
00:09.90,2461.021973,1448.193237
00:09.92,2448.805908,1448.485596
00:09.93,2436.559326,1448.750488
00:09.95,2424.282227,1448.987305
00:09.96,2411.974854,1449.195068
00:09.98,2399.637451,1449.373169
